Municipio_mapa,UF,Latitude,Longitude,Pop_2018,Area,Pop_por_Area,Leitos_por_Mil_Hab,Dominios_Internet_por_Mil_Hab,Atração_Geral,Coef_Gestao_Empresarial,PIB,media_KMG2
ALTO PARAGUAI MT,MT,-14.513712,-56.4936374,11238,1844.817,6.091661124111497,0.0,0.17611835153223,1366.73819659709,,108795,9.931007230210823e-05
ALTO PARAISO DE GOIAS GO,GO,-14.1304779,-47.5100161,7558,2593.905,2.9137535877374074,2.24927229425774,44.5960125918153,2975.35870848564,,160143,0.035865135239094785
ALTO PARAISO PR,PR,-23.508137,-53.728537,2799,967.772,2.892210148671381,0.0,1.45932141554177,5196.06197801179,,83354,0.0004530280301262653
ALTO PARAISO RO,RO,-9.7240103,-63.3188123,20999,2651.822,7.918706459181649,0.761941044811658,0.980026134030241,871.71125,60.0,287085,0.008233850527986536
ALTO PARANA PR,PR,-23.131247,-52.318893,14679,407.719,36.00273717928279,1.3624906328769,2.2342586323629,2477.14917230658,,269870,0.01475068609937598
ALTO PIQUIRI PR,PR,-24.0239021,-53.4417448,9896,447.666,22.10576635259323,0.0,5.18503456689711,162.392727604018,,252998,0.001590116027855386
ALTO RIO DOCE MG,MG,-21.0239537,-43.4133507,11146,518.053,21.515173157958746,1.52521083796878,0.818181818181818,2463.24199390544,,133935,0.01595733181834747
ALTO RIO NOVO ES,ES,-19.0577208,-41.0171518,7798,227.617,34.25930400629127,0.0,1.14854517611026,1853.21185553266,,85451,0.00036552434367164555
ALTO SANTO CE,CE,-5.5190371,-38.2719351,17096,1338.205,12.775322166633662,1.9302760879738,1.34142073953109,3759.94576174673,,133551,0.020266100183896317
ALTO TAQUARI MT,MT,-17.8269099,-53.2831736,10557,1440.399,7.329219195514577,2.84171639670361,2.85793306905135,1209.33272046854,85.0,1038520,0.03046733358231647
ALTONIA PR,PR,-23.8722004,-53.894037,21933,661.56,33.153455468891714,1.68695572881047,6.93688792165397,3351.41820912314,112.0,334561,0.01945062880737891
ALTOS PI,PI,-5.0393915,-42.4611694,40440,957.654,42.22819515190246,0.914935707220574,1.11045306485046,17561.6829118615,92.0,346462,0.009869070396000577
ALVARAES AM,AM,-3.214786,-64.8143124,15860,5923.461,2.6774887181666256,1.38713745271122,0.187020759304283,5248.98867404201,,147946,0.014366014101786014
ALVARENGA MG,MG,-19.4175,-41.728334,3973,278.173,14.282478889036678,0.0,0.255950857435372,99.2600000000003,,37585,8.983899108686312e-05
ALVARO DE CARVALHO SP,SP,-22.0787992,-49.7194861,5179,153.662,33.7038435006703,0.0,6.31337287162809,94.608,,49593,0.0018193030680852891
ALVINLANDIA SP,SP,-22.4431852,-49.7643596,3206,84.879,37.77141578011051,0.0,3.41402855369336,123.77103117506,,47169,0.00099300922717413
ALVINOPOLIS MG,MG,-20.1105199,-43.0601805,15239,599.443,25.421933361470565,2.09987531990288,3.35460106557916,1623.2710412339,,268755,0.022641989458091125
ALVORADA DE MINAS MG,MG,-18.7318587,-43.3641479,3606,374.008,9.641504994545572,0.0,1.10926234054354,630.366037037037,,47223,0.00033706171730798936
ALVORADA DO GURGUEIA PI,PI,-8.4465288,-43.8655915,5392,2131.921,2.5291743924845247,0.0,0.922679461155195,106.957818930041,,52281,0.0002862439816578529
ALVORADA DO SUL PR,PR,-22.7807269,-51.2307721,11306,424.25,26.64938126104891,1.41517778170883,3.15623356128354,314.352945736434,,244452,0.015542700388949516
AMAJARI RR,RR,3.6523869,-61.4194315,12394,28472.31,0.435300121416211,0.0,0.547045951859956,14461.0340740741,,139171,0.0002186141661609387
AMAMBAI MS,MS,-23.1082701,-55.2284854,38958,4202.324,9.270584562256504,3.25992094050003,3.68057670829526,19696.419535241,172.0,877582,0.03492367437808922
AMAPA AP,AP,2.0529997,-50.7930003,9029,8454.847,1.0679081478352004,4.09790674493299,0.439126138983423,2661.50658302603,37.0,143556,0.04227538316983814
AMAPA DO MARANHAO MA,MA,-1.6762114,-46.0109669,6918,502.402,13.769849642318304,0.0,0.143636885952313,628.398842592592,,48652,6.287587995245878e-05
AMAPORA PR,PR,-23.094272,-52.786597,6181,384.735,16.065603597281246,2.10321954376314,1.59821000479463,1750.99778826168,,102760,0.022101395644785207
AMARAJI PE,PE,-8.373925,-35.4536527,22788,234.956,96.98837229098214,1.36036510444093,0.963686539051207,1590.00285562633,,187138,0.01432983104712249
AMARAL FERRADOR RS,RS,-30.8750633,-52.2542051,6974,505.983,13.783071763280583,0.0,0.853363675152894,0.0,,110248,0.00029272138328874825
AMARALINA GO,GO,-13.9236199,-49.2962411,3778,1343.237,2.812608646128717,0.0,0.0,64.3066666666667,,51044,2.307598857123194e-05
AMARANTE DO MARANHAO MA,MA,-5.56913,-46.747284,41136,7438.217,5.530357611239361,1.96907817969662,0.168939302522022,5793.05688997255,,285206,0.020399451653801248
AMARGOSA BA,BA,-13.0302189,-39.6040692,37031,431.673,85.78484176680033,1.40422888930896,2.95373378802932,20775.5401183621,,338286,0.015415041219218793
